"filename", "language", "Java", "XML", "Java Properties", "Markdown", "comment", "blank", "total"
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\enums\ThumnailFormat.java", "Java", 5, 0, 0, 0, 0, 1, 6
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\enums\ThumnailSize.java", "Java", 23, 0, 0, 0, 0, 8, 31
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\exceptions\BadgeLimit.java", "Java", 6, 0, 0, 0, 1, 3, 10
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\exceptions\RequestError.java", "Java", 18, 0, 0, 0, 0, 7, 25
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\test\java\me\vigus\red\discordbot\RobloxUserArgumentTest.java", "Java", 34, 0, 0, 0, 1, 11, 46
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\test\java\me\vigus\red\robloxjava\connection\http\HttpConnectionTest.java", "Java", 48, 0, 0, 0, 0, 13, 61
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\test\java\me\vigus\red\robloxjava\connection\json\UserGroupsJsonTest.java", "Java", 32, 0, 0, 0, 0, 8, 40
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\App.class", "Java", 13, 0, 0, 0, 3, 0, 16
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\command\Command.class", "Java", 22, 0, 0, 0, 0, 1, 23
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\discordbot\command\CommandDispatch.class", "Java", 56, 0, 0, 0, 0, 0, 56
